Date,Pies,Cookies,Smoothies,Coffee,promotion
5/4/2013,98,622,346,366,none
5/5/2013,41,635,226,372,none
5/6/2013,46,588,159,357,none
5/7/2013,45,461,201,183,none
5/8/2013,43,463,277,257,none
5/9/2013,54,552,254,111,none
5/10/2013,45,530,248,491,none
5/11/2013,52,431,303,525,none
5/12/2013,58,395,362,388,none
5/13/2013,42,391,193,273,none
5/14/2013,52,432,297,248,none
5/15/2013,40,581,182,408,none
5/16/2013,55,525,195,248,none
5/17/2013,50,740,272,276,none
5/18/2013,60,710,405,353,none
5/19/2013,41,433,300,326,none
5/20/2013,45,394,293,516,none
5/21/2013,48,363,194,287,none
5/22/2013,68,611,145,506,promotion
5/23/2013,44,359,153,321,none
5/24/2013,57,415,194,424,none
5/25/2013,61,568,377,565,none
5/26/2013,60,595,257,452,none
5/27/2013,47,504,167,418,none
5/28/2013,59,460,231,283,none
5/29/2013,54,521,254,475,none
5/30/2013,59,547,173,419,none
5/31/2013,59,305,98,294,none
6/1/2013,64,631,297,394,none
6/2/2013,59,612,322,456,none
6/3/2013,36,417,313,282,none
6/4/2013,50,385,198,263,none
6/5/2013,43,373,185,438,none
6/6/2013,30,513,235,311,none
6/7/2013,66,572,423,326,none
6/8/2013,76,601,379,617,none
6/9/2013,66,579,327,315,none
6/10/2013,43,502,112,330,none
6/11/2013,56,609,323,422,promotion
6/12/2013,32,543,258,312,none
6/13/2013,52,322,289,294,none
6/14/2013,85,534,385,353,none
6/15/2013,66,844,293,398,none
6/16/2013,65,604,219,398,none
6/17/2013,40,452,211,321,none
6/18/2013,40,458,299,344,none
6/19/2013,38,489,202,225,none
6/20/2013,42,455,237,365,none
6/21/2013,68,488,269,436,promotion
6/22/2013,75,477,352,424,none
6/23/2013,79,681,292,432,none
6/24/2013,61,430,212,381,none
6/25/2013,61,440,251,327,none
6/26/2013,51,303,265,195,none
6/27/2013,43,429,234,469,none
6/28/2013,67,632,184,495,none
6/29/2013,62,791,204,402,none
6/30/2013,82,590,147,489,promotion
7/1/2013,52,504,347,366,none
7/2/2013,46,546,160,291,none
7/3/2013,47,369,226,359,none
7/4/2013,51,393,247,394,none
7/5/2013,81,848,437,327,promotion
7/6/2013,58,550,353,357,none
7/7/2013,53,885,244,369,none
7/8/2013,53,452,279,238,none
7/9/2013,37,562,281,412,none
7/10/2013,55,483,227,506,none
7/11/2013,29,393,316,445,none
7/12/2013,52,572,224,327,none
7/13/2013,75,580,295,563,none
7/14/2013,71,561,389,566,promotion
7/15/2013,55,564,172,308,none
7/16/2013,41,379,199,302,none
7/17/2013,40,411,239,236,none
7/18/2013,56,448,221,412,none
7/19/2013,77,611,411,442,none
7/20/2013,56,613,303,446,none
7/21/2013,66,816,149,409,none
7/22/2013,54,311,135,365,none
7/23/2013,62,268,284,434,none
7/24/2013,43,629,265,399,none
7/25/2013,52,556,265,421,none
7/26/2013,52,640,224,494,none
7/27/2013,76,621,511,751,promotion
7/28/2013,48,523,339,381,none
7/29/2013,61,469,345,402,none
7/30/2013,46,453,250,420,none
7/31/2013,41,506,198,227,none
8/1/2013,44,520,268,358,none
8/2/2013,40,507,307,289,none
8/3/2013,47,785,277,548,none
8/4/2013,58,478,307,366,none
8/5/2013,41,391,239,432,none
8/6/2013,50,307,277,284,none
8/7/2013,56,437,198,214,none
8/8/2013,62,462,389,418,promotion
8/9/2013,54,586,186,270,none
8/10/2013,81,576,291,653,none
8/11/2013,58,752,317,371,none
8/12/2013,29,309,257,278,none
8/13/2013,44,503,192,302,none
8/14/2013,48,361,263,273,none
8/15/2013,57,608,260,433,promotion
8/16/2013,94,274,351,447,none
8/17/2013,65,650,439,349,none
8/18/2013,79,639,294,570,none
8/19/2013,43,370,258,272,none
8/20/2013,51,386,179,409,none
8/21/2013,72,491,326,356,promotion
8/22/2013,41,551,223,431,none
8/23/2013,61,548,191,424,none
8/24/2013,54,505,349,359,none
8/25/2013,46,522,426,259,none
8/26/2013,45,366,301,359,none
8/27/2013,48,617,271,180,promotion
8/28/2013,54,507,261,349,promotion
8/29/2013,35,420,183,345,none
8/30/2013,61,427,282,386,none
8/31/2013,55,547,173,519,none
9/1/2013,46,549,316,576,none
9/2/2013,32,435,162,339,none
9/3/2013,47,693,214,208,promotion
9/4/2013,46,371,219,428,none
9/5/2013,51,522,231,239,none
9/6/2013,63,336,300,256,none
9/7/2013,51,691,357,405,none
9/8/2013,41,633,177,340,none
9/9/2013,49,539,249,331,none
9/10/2013,47,402,138,275,none
9/11/2013,59,460,234,315,none
9/12/2013,42,603,274,198,promotion
9/13/2013,50,626,187,589,none
9/14/2013,59,725,184,394,none
9/15/2013,79,359,316,415,promotion
9/16/2013,48,459,247,341,none
9/17/2013,40,364,203,258,none
9/18/2013,48,310,230,305,none
9/19/2013,32,509,216,257,none
9/20/2013,46,387,237,477,none
9/21/2013,69,460,199,353,none
9/22/2013,53,665,161,209,none
9/23/2013,42,647,216,394,promotion
9/24/2013,47,437,208,267,none
9/25/2013,52,247,197,359,none
9/26/2013,53,397,200,448,none
9/27/2013,46,598,157,329,none
9/28/2013,44,702,330,475,none
9/29/2013,57,506,207,374,none
9/30/2013,46,348,237,438,none
10/1/2013,49,504,87,392,none
10/2/2013,50,528,232,300,none
10/3/2013,66,433,342,288,none
10/4/2013,35,743,167,413,none
10/5/2013,91,777,191,534,none
10/6/2013,53,796,217,378,none
10/7/2013,37,551,153,339,none
10/8/2013,41,633,192,375,none
10/9/2013,58,507,172,253,none
10/10/2013,51,539,159,470,none
10/11/2013,48,675,207,319,none
10/12/2013,69,624,397,432,promotion
10/13/2013,75,726,175,441,none
10/14/2013,39,480,141,378,none
10/15/2013,60,601,166,394,none
10/16/2013,51,497,191,389,none
10/17/2013,41,453,191,349,none
10/18/2013,57,452,176,325,none
10/19/2013,98,688,238,373,promotion
10/20/2013,81,630,325,448,promotion
10/21/2013,50,648,216,324,none
10/22/2013,39,596,213,412,promotion
10/23/2013,46,304,264,348,none
10/24/2013,49,514,50,228,none
10/25/2013,57,413,184,432,none
10/26/2013,71,564,213,399,none
10/27/2013,42,701,261,462,none
10/28/2013,42,497,153,204,none
10/29/2013,24,456,232,273,none
10/30/2013,42,444,115,308,none
10/31/2013,43,443,221,305,none
11/1/2013,79,512,167,446,none
11/2/2013,55,884,243,343,none
11/3/2013,62,348,199,380,none
11/4/2013,57,485,111,443,none
11/5/2013,38,665,182,363,none
11/6/2013,46,730,169,328,none
11/7/2013,41,636,151,478,promotion
11/8/2013,80,543,230,410,none
11/9/2013,67,674,206,545,none
11/10/2013,40,568,203,382,none
11/11/2013,51,446,180,364,none
11/12/2013,34,703,154,346,none
11/13/2013,52,512,123,394,none
11/14/2013,53,497,167,302,none
11/15/2013,51,803,160,365,none
11/16/2013,63,855,166,554,none
11/17/2013,58,694,175,405,none
11/18/2013,44,526,197,423,none
11/19/2013,49,513,72,355,none
11/20/2013,41,388,99,289,none
11/21/2013,52,443,149,221,none
11/22/2013,44,692,169,439,none
11/23/2013,88,645,340,771,promotion
11/24/2013,48,575,203,446,none
11/25/2013,52,430,200,451,promotion
11/26/2013,58,489,152,275,none
11/27/2013,65,538,111,426,promotion
11/28/2013,57,409,104,403,none
11/29/2013,54,647,182,412,none
11/30/2013,51,794,183,399,none
12/1/2013,29,694,220,367,none
12/2/2013,46,358,126,404,none
12/3/2013,41,342,154,428,none
12/4/2013,51,407,155,195,none
12/5/2013,61,360,164,336,none
12/6/2013,56,722,311,441,none
12/7/2013,71,684,202,217,none
12/8/2013,61,534,178,561,none
12/9/2013,52,425,103,317,none
12/10/2013,54,557,163,446,promotion
12/11/2013,36,418,148,373,none
12/12/2013,53,476,186,346,none
12/13/2013,66,538,201,391,none
12/14/2013,61,681,214,449,none
12/15/2013,61,515,259,529,none
12/16/2013,46,322,148,318,none
12/17/2013,43,487,195,300,none
12/18/2013,51,478,181,317,none
12/19/2013,57,704,224,564,promotion
12/20/2013,62,628,237,408,none
12/21/2013,65,613,147,310,none
12/22/2013,50,532,175,535,none
12/23/2013,27,329,133,341,none
12/24/2013,49,476,231,357,none
12/25/2013,63,591,98,286,promotion
12/26/2013,47,455,131,337,none
12/27/2013,50,270,149,384,none
12/28/2013,76,658,206,518,none
12/29/2013,43,514,180,493,none
12/30/2013,51,438,157,390,none
12/31/2013,51,506,181,363,none
1/1/2014,52,475,146,331,none
1/2/2014,47,461,129,409,none
1/3/2014,71,752,266,536,none
1/4/2014,79,354,282,512,none
1/5/2014,64,466,205,288,none
1/6/2014,62,475,177,379,none
1/7/2014,42,408,126,445,none
1/8/2014,31,653,178,387,none
1/9/2014,56,620,203,326,promotion
1/10/2014,51,661,128,375,none
1/11/2014,85,644,235,719,promotion
1/12/2014,65,556,187,405,none
1/13/2014,43,412,70,478,none
1/14/2014,46,375,198,302,none
1/15/2014,33,671,167,513,promotion
1/16/2014,38,508,98,332,none
1/17/2014,52,525,185,406,none
1/18/2014,71,661,184,609,none
1/19/2014,53,441,152,456,none
1/20/2014,39,542,174,491,none
1/21/2014,39,393,148,328,none
1/22/2014,51,461,180,218,promotion
1/23/2014,43,426,172,459,none
1/24/2014,62,576,150,466,none
1/25/2014,43,714,216,419,none
1/26/2014,84,407,238,382,none
1/27/2014,54,524,224,372,none
1/28/2014,43,425,163,327,none
1/29/2014,50,487,190,343,none
1/30/2014,62,459,181,443,none
1/31/2014,62,500,267,505,none
2/1/2014,54,754,186,603,none
2/2/2014,70,572,209,506,none
2/3/2014,71,555,166,284,none
2/4/2014,41,554,176,263,none
2/5/2014,49,407,75,443,none
2/6/2014,49,517,102,320,none
2/7/2014,44,397,136,507,none
2/8/2014,72,752,180,568,none
2/9/2014,68,546,214,582,none
2/10/2014,37,462,136,356,none
2/11/2014,57,422,160,376,none
2/12/2014,50,548,204,365,promotion
2/13/2014,44,484,128,397,none
2/14/2014,77,660,176,398,none
2/15/2014,63,690,125,493,none
2/16/2014,66,340,142,374,none
2/17/2014,53,495,129,268,promotion
2/18/2014,34,564,173,219,none
2/19/2014,51,442,193,397,none
2/20/2014,51,324,151,392,none
2/21/2014,40,510,205,493,none
2/22/2014,73,288,200,561,none
2/23/2014,45,458,205,506,none
2/24/2014,58,680,178,330,none
2/25/2014,50,490,205,399,none
2/26/2014,39,368,165,282,none
2/27/2014,24,525,117,428,none
2/28/2014,51,464,240,495,none
3/1/2014,86,684,95,405,none
3/2/2014,57,818,217,507,none
3/3/2014,59,561,167,500,promotion
3/4/2014,38,509,174,361,none
3/5/2014,64,687,178,401,promotion
3/6/2014,66,330,162,320,none
3/7/2014,64,679,137,320,none
3/8/2014,64,707,253,368,none
3/9/2014,64,593,187,299,none
3/10/2014,54,505,177,526,promotion
3/11/2014,46,324,126,471,none
3/12/2014,65,562,123,280,none
3/13/2014,71,746,162,468,promotion
3/14/2014,59,776,276,516,none
3/15/2014,88,596,209,299,none
3/16/2014,60,534,227,366,none
3/17/2014,38,579,147,486,promotion
3/18/2014,44,552,108,254,none
3/19/2014,46,651,178,448,none
3/20/2014,29,414,169,453,none
3/21/2014,40,752,165,471,none
3/22/2014,53,760,243,375,none
3/23/2014,61,691,246,492,none
3/24/2014,58,479,144,245,none
3/25/2014,51,582,197,362,none
3/26/2014,45,519,206,412,none
3/27/2014,55,461,194,286,none
3/28/2014,45,561,201,548,none
3/29/2014,42,581,186,434,none
3/30/2014,60,519,127,397,promotion
3/31/2014,53,446,206,346,none
4/1/2014,38,420,203,352,none
4/2/2014,57,378,186,262,none
4/3/2014,53,530,164,382,none
4/4/2014,66,522,224,465,none
4/5/2014,57,698,286,499,none
4/6/2014,46,535,257,531,none
4/7/2014,54,541,202,440,none
4/8/2014,41,435,162,205,none
4/9/2014,34,437,219,348,none
4/10/2014,43,529,182,306,none
4/11/2014,51,603,199,519,none
4/12/2014,53,520,181,592,none
4/13/2014,42,624,256,288,none
4/14/2014,58,398,175,258,none
4/15/2014,48,597,247,214,none
4/16/2014,28,516,203,307,none
4/17/2014,57,397,183,409,none
4/18/2014,59,548,218,224,none
4/19/2014,66,499,291,577,none
4/20/2014,46,545,265,519,none
4/21/2014,65,610,115,410,none
4/22/2014,56,448,320,135,none
4/23/2014,35,530,215,339,none
4/24/2014,46,421,210,338,none
4/25/2014,44,424,177,567,none
4/26/2014,37,603,311,633,none
4/27/2014,44,761,147,344,none
4/28/2014,59,529,173,297,none
4/29/2014,44,456,143,438,none
4/30/2014,31,488,93,396,none
5/1/2014,52,552,270,379,promotion
5/2/2014,66,523,136,324,none
5/3/2014,49,690,449,279,none
5/4/2014,36,670,334,275,none
5/5/2014,43,460,202,174,none
5/6/2014,26,456,205,175,none
5/7/2014,57,529,302,271,none
5/8/2014,39,397,288,401,none
5/9/2014,64,559,249,371,none
5/10/2014,77,718,271,505,none
5/11/2014,67,629,184,377,none
5/12/2014,31,401,120,421,none
5/13/2014,44,484,196,338,none
5/14/2014,40,686,231,322,promotion
5/15/2014,45,545,128,488,promotion
5/16/2014,47,250,235,243,none
5/17/2014,66,649,357,562,promotion
5/18/2014,60,466,267,458,none
5/19/2014,67,275,260,308,none
5/20/2014,45,364,243,446,none
5/21/2014,59,627,313,411,promotion
5/22/2014,54,447,244,295,none
5/23/2014,50,837,159,370,none
5/24/2014,41,296,145,346,none
5/25/2014,59,556,255,240,none
5/26/2014,28,606,181,345,none
5/27/2014,48,480,145,418,none
5/28/2014,46,484,279,444,promotion
5/29/2014,42,568,150,232,none
5/30/2014,54,659,280,420,promotion
5/31/2014,75,738,314,312,promotion
6/1/2014,42,706,325,494,none
6/2/2014,34,374,303,326,none
6/3/2014,48,451,323,431,none
6/4/2014,54,551,323,290,none
6/5/2014,56,504,271,401,none
6/6/2014,86,804,440,357,none
6/7/2014,70,602,281,460,none
6/8/2014,59,517,341,400,none
6/9/2014,31,445,210,448,none
6/10/2014,34,526,288,458,none
6/11/2014,43,449,288,443,none
6/12/2014,50,360,264,371,none
6/13/2014,51,552,302,497,none
6/14/2014,95,896,213,555,promotion
6/15/2014,66,512,318,536,none
6/16/2014,33,453,218,359,none
6/17/2014,39,404,333,340,none
6/18/2014,59,311,237,329,none
6/19/2014,48,403,181,494,none
6/20/2014,79,575,347,283,none
6/21/2014,66,794,400,446,none
6/22/2014,75,693,320,487,none
6/23/2014,47,430,212,291,none
6/24/2014,46,447,196,379,none
6/25/2014,61,514,244,302,none
6/26/2014,37,375,207,380,none
6/27/2014,50,376,318,470,none
6/28/2014,66,640,253,405,none
6/29/2014,62,568,288,497,none
6/30/2014,51,398,285,342,none
7/1/2014,32,502,197,310,none
7/2/2014,51,471,339,338,none
7/3/2014,32,493,225,484,none
7/4/2014,66,590,386,483,none
7/5/2014,56,693,393,219,none
7/6/2014,69,1152,420,499,promotion
7/7/2014,52,526,247,246,none
7/8/2014,36,490,336,448,none
7/9/2014,31,481,125,252,promotion
7/10/2014,72,609,252,402,promotion
7/11/2014,60,468,195,532,none
7/12/2014,38,535,322,521,none
7/13/2014,48,634,265,324,none
7/14/2014,49,537,378,330,none
7/15/2014,34,541,370,314,none
7/16/2014,45,338,243,352,none
7/17/2014,38,396,317,395,none
7/18/2014,66,538,335,334,none
7/19/2014,56,555,407,490,none
7/20/2014,57,590,344,562,none
7/21/2014,57,490,238,257,none
7/22/2014,43,435,224,398,none
7/23/2014,48,479,311,388,none
7/24/2014,53,449,281,316,none
7/25/2014,56,743,298,135,none
7/26/2014,54,438,191,458,none
7/27/2014,69,662,298,500,none
7/28/2014,45,406,305,396,none
7/29/2014,49,392,244,316,none
7/30/2014,50,554,172,440,none
7/31/2014,68,561,305,272,promotion
8/1/2014,59,671,290,421,none
8/2/2014,47,707,465,406,none
8/3/2014,53,451,412,561,none
8/4/2014,59,435,262,428,none
8/5/2014,52,533,254,539,promotion
8/6/2014,35,295,299,428,none
8/7/2014,31,477,146,443,none
8/8/2014,90,559,468,486,promotion
8/9/2014,73,789,336,504,none
8/10/2014,54,714,235,441,none
8/11/2014,49,548,304,308,none
8/12/2014,32,353,200,347,none
8/13/2014,63,445,274,317,none
8/14/2014,56,401,237,416,none
8/15/2014,67,483,328,475,none
8/16/2014,47,655,460,578,promotion
8/17/2014,49,559,247,450,none
8/18/2014,55,571,209,249,none
8/19/2014,51,530,280,334,none
8/20/2014,64,482,146,294,none
8/21/2014,26,429,186,435,none
8/22/2014,32,578,278,478,none
8/23/2014,78,701,311,418,none
8/24/2014,86,560,551,546,promotion
8/25/2014,52,623,327,445,none
8/26/2014,68,502,212,499,none
8/27/2014,40,490,333,393,none
8/28/2014,52,552,277,365,none
8/29/2014,45,576,353,442,promotion
8/30/2014,59,886,250,615,none
8/31/2014,58,698,385,581,promotion
9/1/2014,52,351,221,229,none
9/2/2014,71,555,212,322,promotion
9/3/2014,46,634,133,333,none
9/4/2014,34,445,211,214,none
9/5/2014,82,759,204,426,none
9/6/2014,80,465,312,355,none
9/7/2014,42,511,298,303,none
9/8/2014,40,467,140,219,none
9/9/2014,40,681,210,458,none
9/10/2014,46,570,172,347,none
9/11/2014,52,294,173,214,none
9/12/2014,60,788,157,416,none
9/13/2014,95,422,189,443,none
9/14/2014,62,576,206,486,none
9/15/2014,29,575,288,335,none
9/16/2014,37,397,200,360,none
9/17/2014,55,395,198,442,none
9/18/2014,48,441,251,420,none
9/19/2014,68,697,306,334,none
9/20/2014,87,555,230,638,promotion
9/21/2014,54,656,216,601,none
9/22/2014,63,494,256,422,none
9/23/2014,60,370,270,374,none
9/24/2014,43,590,248,281,none
9/25/2014,34,501,180,526,none
9/26/2014,53,514,279,338,none
9/27/2014,49,769,275,537,none
9/28/2014,64,697,138,293,none
9/29/2014,43,600,161,435,none
9/30/2014,40,626,125,361,none
10/1/2014,48,440,193,306,none
10/2/2014,29,535,240,402,none
10/3/2014,71,631,267,274,none
10/4/2014,77,444,230,687,none
10/5/2014,53,689,272,617,none
10/6/2014,61,585,148,397,none
10/7/2014,51,482,176,241,none
10/8/2014,22,376,184,461,none
10/9/2014,65,625,206,253,none
10/10/2014,63,514,225,329,none
10/11/2014,58,540,269,491,none
10/12/2014,76,385,223,233,none
10/13/2014,52,637,209,317,none
10/14/2014,49,590,147,366,none
10/15/2014,45,532,259,346,none
10/16/2014,28,569,314,433,none
10/17/2014,45,527,128,567,none
10/18/2014,84,941,196,461,none
10/19/2014,63,658,196,459,promotion
10/20/2014,42,584,141,303,none
10/21/2014,44,508,219,233,none
10/22/2014,53,403,243,442,none
10/23/2014,46,754,202,376,none
10/24/2014,78,403,223,543,none
10/25/2014,72,582,253,323,none
10/26/2014,69,554,271,343,none
10/27/2014,46,488,194,347,none
10/28/2014,50,528,120,411,none
10/29/2014,37,290,123,301,none
10/30/2014,41,414,235,482,none
10/31/2014,82,552,234,426,none
11/1/2014,71,840,233,758,none
11/2/2014,68,860,174,427,none
11/3/2014,38,377,119,433,none
11/4/2014,58,358,165,214,none
11/5/2014,49,613,175,306,none
11/6/2014,39,636,109,316,none
11/7/2014,69,614,209,521,none
11/8/2014,78,803,256,404,none
11/9/2014,64,722,182,329,none
11/10/2014,54,456,120,253,none
11/11/2014,33,473,147,295,promotion
11/12/2014,62,489,155,210,none
11/13/2014,38,425,166,298,none
11/14/2014,71,602,217,376,none
11/15/2014,88,744,267,500,none
11/16/2014,89,649,193,391,none
11/17/2014,44,549,151,289,none
11/18/2014,47,497,164,214,none
11/19/2014,33,584,106,279,none
11/20/2014,46,512,85,222,none
11/21/2014,64,720,147,535,none
11/22/2014,66,745,316,494,none
11/23/2014,53,594,144,591,none
11/24/2014,46,465,186,435,promotion
11/25/2014,49,432,151,356,none
11/26/2014,61,558,132,331,none
11/27/2014,52,561,92,278,none
11/28/2014,55,601,201,471,none
11/29/2014,56,746,135,332,none
11/30/2014,53,401,190,518,none
12/1/2014,56,629,104,409,none
12/2/2014,55,464,128,396,none
12/3/2014,46,465,142,236,none
12/4/2014,56,385,201,328,none
12/5/2014,63,582,198,444,none
12/6/2014,52,657,277,392,none
12/7/2014,50,685,129,488,none
12/8/2014,54,577,149,228,none
12/9/2014,68,716,239,444,promotion
12/10/2014,49,533,220,345,none
12/11/2014,63,566,239,306,none
12/12/2014,64,686,96,410,none
12/13/2014,93,594,342,639,none
12/14/2014,67,707,243,277,none
12/15/2014,39,423,167,305,none
12/16/2014,63,581,202,347,none
12/17/2014,40,489,96,433,none
12/18/2014,52,387,129,378,none
12/19/2014,68,532,236,441,none
12/20/2014,62,657,292,473,none
12/21/2014,49,391,148,563,none
12/22/2014,71,381,171,368,none
12/23/2014,43,419,155,352,none
12/24/2014,28,647,206,305,none
12/25/2014,51,650,115,216,none
12/26/2014,67,663,182,375,none
12/27/2014,74,600,207,528,none
12/28/2014,82,601,156,427,none
12/29/2014,48,555,252,338,promotion
12/30/2014,43,555,160,339,none
12/31/2014,64,337,151,322,none
1/1/2015,39,281,155,407,none
1/2/2015,35,575,131,420,none
1/3/2015,48,742,175,536,none
1/4/2015,76,394,196,530,none
1/5/2015,52,335,116,362,none
1/6/2015,43,458,146,295,none
1/7/2015,49,400,173,246,none
1/8/2015,43,570,185,445,none
1/9/2015,54,526,186,400,none
1/10/2015,64,641,198,570,none
1/11/2015,67,614,163,451,none
1/12/2015,51,410,166,411,none
1/13/2015,50,484,143,408,none
1/14/2015,41,596,132,345,none
1/15/2015,41,491,167,282,none
1/16/2015,38,668,148,476,none
1/17/2015,66,759,190,309,none
1/18/2015,58,580,208,284,none
1/19/2015,41,381,125,410,none
1/20/2015,40,322,111,294,none
1/21/2015,38,559,119,375,none
1/22/2015,52,466,154,315,none
1/23/2015,73,778,187,417,none
1/24/2015,56,702,215,448,none
1/25/2015,75,325,193,511,none
1/26/2015,63,443,188,346,none
1/27/2015,35,423,169,319,none
1/28/2015,39,373,173,411,none
1/29/2015,57,568,100,463,none
1/30/2015,48,629,185,421,none
1/31/2015,59,595,184,434,none
2/1/2015,72,412,175,424,none
2/2/2015,40,513,165,375,none
2/3/2015,37,308,138,312,none
2/4/2015,61,521,167,337,none
2/5/2015,42,578,132,448,none
2/6/2015,77,883,189,356,none
2/7/2015,67,713,219,397,none
2/8/2015,53,845,205,319,none
2/9/2015,43,499,179,229,none
2/10/2015,54,565,240,435,none
2/11/2015,50,463,150,429,none
2/12/2015,67,576,119,376,promotion
2/13/2015,41,594,205,428,none
2/14/2015,64,764,208,712,none
2/15/2015,54,387,166,303,none
2/16/2015,54,525,151,392,none
2/17/2015,43,629,140,406,none
2/18/2015,46,530,119,387,none
2/19/2015,52,460,216,486,none
2/20/2015,70,684,170,518,promotion
2/21/2015,56,634,180,393,none
2/22/2015,31,459,124,453,none
2/23/2015,35,552,114,334,none
2/24/2015,53,538,145,358,promotion
2/25/2015,45,621,191,257,none
2/26/2015,53,365,190,333,none
2/27/2015,77,584,229,335,none
2/28/2015,73,670,225,389,none
3/1/2015,54,648,217,522,none
3/2/2015,47,492,193,247,none
3/3/2015,41,419,199,453,none
3/4/2015,47,393,166,241,none
3/5/2015,54,568,123,342,none
3/6/2015,66,674,235,492,none
3/7/2015,84,581,221,539,none
3/8/2015,77,614,237,208,none
3/9/2015,43,451,165,426,promotion
3/10/2015,49,508,145,448,none
3/11/2015,48,397,127,317,none
3/12/2015,54,492,171,597,none
3/13/2015,49,463,150,244,none
3/14/2015,89,751,153,412,none
3/15/2015,48,475,212,458,none
3/16/2015,54,597,297,380,promotion
3/17/2015,77,448,213,397,promotion
3/18/2015,57,470,230,164,none
3/19/2015,43,530,194,416,none
3/20/2015,89,585,250,558,none
3/21/2015,72,696,276,319,none
